listing_id,creation_date,location_of_seller,brand,model_name,model_year,engine_displacement,license_rank,kilometrage,amount_of_owners,color,listed_price,active,last_seen,brand_model_name,model_count,model_rank
55718688,2025-04-03,holon bat yam,Yamaha,MT 07,2023,700,A,26000,3,black,41900.0,1,2025-04-04,Yamaha MT 07,88,2
55770007,2025-02-07,petah tikva area,Yamaha,MT 07,2022,700,A1,19000,4,black,39900.0,1,2025-04-04,Yamaha MT 07,88,2
56162344,2025-03-27,upper galilee,Yamaha,MT 07,2021,700,A1,32000,7,black,34000.0,1,2025-04-04,Yamaha MT 07,88,2
57170245,2025-02-07,holon bat yam,Yamaha,MT 07,2024,700,A1,6500,1,black,46500.0,1,2025-04-04,Yamaha MT 07,88,2
57686158,2025-01-04,nazareth shfaram area,Yamaha,MT 07,2023,700,A1,9900,1,black,53000.0,1,2025-04-04,Yamaha MT 07,88,2
57977932,2025-01-22,akko and naharyya area,Yamaha,MT 07,2021,700,A1,34000,3,black,35000.0,1,2025-04-04,Yamaha MT 07,88,2
58052508,2025-03-17,afula and valleys,Yamaha,MT 07,2022,700,A1,8500,1,blue,42000.0,1,2025-04-04,Yamaha MT 07,88,2
58067787,2025-02-08,ashdod askelon,Yamaha,MT 07,2023,700,A1,21000,2,black,42000.0,1,2025-04-04,Yamaha MT 07,88,2
58126291,2025-03-10,jerusalem area and surroundings,Yamaha,MT 07,2016,750,A,79000,4,black,20000.0,1,2025-04-04,Yamaha MT 07,88,2
58717058,2025-02-05,kineret area,Yamaha,MT 07,2023,700,A,5550,1,black,46500.0,1,2025-04-04,Yamaha MT 07,88,2
62042358,2025-01-28,nes tziona rehovot,Yamaha,MT 07,2023,700,A1,14000,3,black,42000.0,1,2025-04-04,Yamaha MT 07,88,2
62650059,2025-02-21,ashdod askelon,Yamaha,MT 07,2019,700,A1,24500,3,black,29900.0,1,2025-04-04,Yamaha MT 07,88,2
62760034,2025-01-30,beer sheva area,Yamaha,MT 07,2024,700,A1,3500,3,black,46000.0,1,2025-04-04,Yamaha MT 07,88,2
63178148,2025-03-30,negev area,Yamaha,MT 07,2016,700,A,80000,5,black,20000.0,1,2025-04-04,Yamaha MT 07,88,2
63696516,2025-03-25,ramle lod,Yamaha,MT 07,2023,700,A1,16000,2,black,46000.0,1,2025-04-04,Yamaha MT 07,88,2
63807075,2025-03-25,ramat menashe,Yamaha,MT 07,2023,700,A1,17500,2,black,44000.0,1,2025-04-04,Yamaha MT 07,88,2
64301567,2025-04-02,petah tikva area,Yamaha,MT 07,2015,700,A,85500,3,black,17500.0,1,2025-04-04,Yamaha MT 07,88,2
64359430,2025-03-29,gedera and surroundings,Yamaha,MT 07,2023,700,A1,21000,2,black,45000.0,1,2025-04-04,Yamaha MT 07,88,2
64527206,2025-02-23,petah tikva area,Yamaha,MT 07,2017,700,A,65000,3,gray,0.0,1,2025-04-04,Yamaha MT 07,88,2
64995783,2025-04-03,ramat menashe,Yamaha,MT 07,2024,700,A,1250,1,Black Metallic,51500.0,1,2025-04-04,Yamaha MT 07,88,2
65086487,2025-03-11,nazareth shfaram area,Yamaha,MT 07,2016,700,A1,0,1,Grey mouse,25000.0,1,2025-04-04,Yamaha MT 07,88,2
65435700,2025-03-17,jerusalem area and surroundings,Yamaha,MT 07,2020,700,A,50000,4,black,35000.0,1,2025-04-04,Yamaha MT 07,88,2
65744882,2025-02-16,netanya,Yamaha,MT 07,2024,700,A1,2400,1,black,45000.0,1,2025-04-04,Yamaha MT 07,88,2
66550520,2024-12-24,beer sheva area,Yamaha,MT 07,2017,700,A,44000,3,blue,25000.0,1,2025-04-04,Yamaha MT 07,88,2
66721937,2025-04-01,haifa,Yamaha,MT 07,2024,700,A1,9000,2,blue,49000.0,1,2025-04-04,Yamaha MT 07,88,2
66812676,2025-02-12,akko and naharyya area,Yamaha,MT 07,2021,700,A1,36000,3,gray,36000.0,1,2025-04-04,Yamaha MT 07,88,2
66886847,2025-02-06,bikat ono,Yamaha,MT 07,2021,700,A1,27000,7,black,33000.0,1,2025-04-04,Yamaha MT 07,88,2
67988254,2025-02-11,petah tikva area,Yamaha,MT 07,2022,700,A1,19000,2,blue,40000.0,1,2025-04-04,Yamaha MT 07,88,2
68756614,2025-03-31,nazareth shfaram area,Yamaha,MT 07,2024,700,A1,5000,1,gray,51500.0,1,2025-04-04,Yamaha MT 07,88,2
69714066,2025-02-27,ramat hasharon herzeliya,Yamaha,MT 07,2018,700,A1,51500,4,black,27000.0,1,2025-04-04,Yamaha MT 07,88,2
71595161,2025-03-31,eilat and arava,Yamaha,MT 07,2025,700,A1,1000,1,black,0.0,1,2025-04-04,Yamaha MT 07,88,2
71627001,2025-03-05,beer sheva area,Yamaha,MT 07,2018,700,A,56000,3,black,0.0,1,2025-04-04,Yamaha MT 07,88,2
71857977,2025-02-16,gedera and surroundings,Yamaha,MT 07,2024,700,A1,6500,1,black,41500.0,1,2025-04-04,Yamaha MT 07,88,2
71918646,2025-03-04,beer sheva area,Yamaha,MT 07,2023,700,A,15000,2,black,43000.0,1,2025-04-04,Yamaha MT 07,88,2
72167205,2025-03-30,beer sheva area,Yamaha,MT 07,2025,700,A1,0,0,black,54985.0,1,2025-04-04,Yamaha MT 07,88,2
73253962,2025-03-23,yokneam tivon area,Yamaha,MT 07,2024,700,A1,12500,1,Black Metallic,46000.0,1,2025-04-04,Yamaha MT 07,88,2
73923751,2025-03-31,holon bat yam,Yamaha,MT 07,2018,700,A1,48000,4,black,27000.0,1,2025-04-02,Yamaha MT 07,88,2
73974367,2025-03-23,ashdod askelon,Yamaha,MT 07,2024,700,A1,30500,1,black,47000.0,1,2025-04-04,Yamaha MT 07,88,2
74052037,2025-03-23,hagolan,Yamaha,MT 07,2024,700,A1,3150,2,Black Metallic,49000.0,1,2025-04-04,Yamaha MT 07,88,2
74112303,2024-12-22,afula and valleys,Yamaha,MT 07,2024,700,A,1000,1,black,49999.0,1,2025-04-04,Yamaha MT 07,88,2
74482420,2025-01-12,ashdod askelon,Yamaha,MT 07,2022,700,A1,15000,4,black,0.0,1,2025-04-04,Yamaha MT 07,88,2
74510858,2025-03-25,hadera area,Yamaha,MT 07,2025,700,A1,0,0,black,54985.0,1,2025-04-04,Yamaha MT 07,88,2
74537065,2024-12-04,ramat gan givataim,Yamaha,MT 07,2014,700,A,0,7,black,27000.0,1,2025-04-04,Yamaha MT 07,88,2
75772211,2025-03-20,negev area,Yamaha,MT 07,2017,700,A,0,2,gray,3500.0,1,2025-04-04,Yamaha MT 07,88,2
75817557,2024-09-20,jerusalem area and surroundings,Yamaha,MT 07,2017,700,A,80000,3,gray,19900.0,1,2025-04-04,Yamaha MT 07,88,2
75868104,2025-01-04,jerusalem area and surroundings,Yamaha,MT 07,2024,700,A1,0,1,black,0.0,1,2025-04-04,Yamaha MT 07,88,2
76695666,2025-03-12,jerusalem area and surroundings,Yamaha,MT 07,2021,700,A1,38500,4,gray,35000.0,1,2025-04-04,Yamaha MT 07,88,2
77921524,2025-03-26,upper galilee,Yamaha,MT 07,2023,700,A1,27000,1,black,45000.0,1,2025-04-04,Yamaha MT 07,88,2
78061995,2025-02-19,holon bat yam,Yamaha,MT 07,2020,700,A1,50000,6,black,0.0,1,2025-04-04,Yamaha MT 07,88,2
78299412,2025-03-26,sharon north,Yamaha,MT 07,2021,700,A,41500,1,gray,32000.0,1,2025-04-04,Yamaha MT 07,88,2
78304750,2024-11-24,carmiel area,Yamaha,MT 07,2020,700,A,49700,2,gray,25900.0,1,2025-04-04,Yamaha MT 07,88,2
78946414,2025-03-23,holon bat yam,Yamaha,MT 07,2018,700,A,32000,6,white,23000.0,1,2025-04-04,Yamaha MT 07,88,2
79937832,2025-04-04,jerusalem area and surroundings,Yamaha,MT 07,2017,700,A,49000,2,blue,22000.0,1,2025-04-04,Yamaha MT 07,88,2
81615760,2025-03-27,jerusalem area and surroundings,Yamaha,MT 07,2022,750,A1,18000,3,black,38000.0,1,2025-04-02,Yamaha MT 07,88,2
82031439,2024-09-28,ramat gan givataim,Yamaha,MT 07,2020,700,A1,49000,4,black,32999.0,1,2025-04-04,Yamaha MT 07,88,2
82172522,2024-12-29,modiin and surroundings,Yamaha,MT 07,2021,700,A1,30000,2,gray,39000.0,1,2025-04-04,Yamaha MT 07,88,2
82623001,2025-03-26,nazareth shfaram area,Yamaha,MT 07,2024,700,A1,16000,3,gray,50000.0,1,2025-04-04,Yamaha MT 07,88,2
82713418,2025-04-01,afula and valleys,Yamaha,MT 07,2019,700,A1,37000,5,black,0.0,1,2025-04-02,Yamaha MT 07,88,2
83170264,2025-03-17,tel aviv,Yamaha,MT 07,2014,700,A,0,2,black,18000.0,1,2025-04-04,Yamaha MT 07,88,2
83385083,2025-01-10,nazareth shfaram area,Yamaha,MT 07,2023,700,A1,18000,2,black,43000.0,1,2025-04-04,Yamaha MT 07,88,2
83789613,2025-03-24,shfela,Yamaha,MT 07,2023,700,A1,8700,1,black,38000.0,1,2025-04-04,Yamaha MT 07,88,2
84227351,2025-03-18,ramle lod,Yamaha,MT 07,2024,700,A1,5900,1,black,47000.0,1,2025-04-04,Yamaha MT 07,88,2
85891166,2025-03-27,nazareth shfaram area,Yamaha,MT 07,2015,700,A1,60000,10,black,23000.0,1,2025-04-04,Yamaha MT 07,88,2
86389671,2025-04-01,jerusalem area and surroundings,Yamaha,MT 07,2021,700,A1,55000,4,gray,30000.0,1,2025-04-04,Yamaha MT 07,88,2
86606261,2025-02-19,beit shemesh and surroundings,Yamaha,MT 07,2021,700,A1,38000,3,gray,29000.0,1,2025-04-04,Yamaha MT 07,88,2
86863567,2024-11-30,nesher and krayot,Yamaha,MT 07,2015,700,A,63000,3,gray,22222.0,1,2025-04-04,Yamaha MT 07,88,2
87247408,2025-01-08,jerusalem area and surroundings,Yamaha,MT 07,2023,700,A1,4100,1,black,47000.0,1,2025-04-04,Yamaha MT 07,88,2
89298037,2024-10-21,nes tziona rehovot,Yamaha,MT 07,2020,700,A1,13800,4,black,36000.0,1,2025-04-04,Yamaha MT 07,88,2
89387755,2025-03-05,ashdod askelon,Yamaha,MT 07,2015,700,A1,56000,5,black,24500.0,1,2025-04-04,Yamaha MT 07,88,2
89810790,2025-04-04,nes tziona rehovot,Yamaha,MT 07,2015,700,A1,70000,10,black,32000.0,1,2025-04-04,Yamaha MT 07,88,2
